0,1,0,1,5,0,0,0,14024,14024
1,1,3,1,3,0,11866,0,0,11866
2,4,0,1,4,12800,11986,12219,11509,12128
3,1,0,1,1,0,0,0,15360,15360
4,1,0,-1,3,0,0,17396,0,17396
5,0,0,1,1,0,0,0,0,0
6,1,0,-1,2,0,15369,0,0,15369
7,1,1,1,3,0,0,0,15423,15423
8,1,0,-1,3,0,0,0,21660,21660
9,1,0,-1,3,0,0,0,17951,17951
10,1,0,1,3,0,0,0,15891,15891
11,1,1,1,3,12171,0,0,0,12171
12,1,0,1,4,0,0,18248,0,18248
13,1,0,1,5,0,15291,0,0,15291
14,1,0,-1,2,0,0,18147,0,18147
15,1,0,1,4,0,0,0,12154,12154
16,1,0,-1,3,0,14108,0,0,14108
17,1,1,1,3,16574,0,0,0,16574
18,1,2,-1,2,0,15244,0,0,15244
19,0,0,-1,4,0,0,0,0,0
20,1,0,1,4,0,0,0,20917,20917
21,1,0,1,5,0,16367,0,0,16367
22,1,1,-1,2,0,14669,0,0,14669
23,1,0,-1,3,0,0,21413,0,21413
24,1,0,1,4,0,0,0,15895,15895
25,1,0,-1,5,0,0,0,17360,17360
26,1,0,1,4,0,0,0,20803,20803
27,1,0,1,4,0,0,0,13884,13884
28,1,0,1,4,12640,0,0,0,12640
29,1,0,1,4,0,0,16082,0,16082
30,0,0,-1,3,0,0,0,0,0
31,1,0,1,1,0,0,0,12759,12759
32,0,0,-1,5,0,0,0,0,0
33,1,0,1,4,0,0,23482,0,23482
34,2,2,1,3,0,0,14529,0,14201
35,0,0,1,4,0,0,0,0,0
36,1,1,1,4,0,0,0,-1,-1
37,1,0,1,3,0,0,0,17176,17176
38,0,0,1,2,0,0,0,0,0
39,1,0,-1,4,0,0,0,20691,20691
40,1,3,1,3,0,13372,0,0,13372
41,1,0,1,3,15890,0,0,0,15890
42,1,0,1,4,0,0,16010,0,16010
43,1,0,1,2,0,0,13555,0,13555
44,1,0,1,4,0,17733,0,0,17733
45,1,0,1,4,0,0,0,15693,15693
46,1,4,-1,5,0,16465,0,0,16465
47,1,0,-1,3,0,0,0,15501,15501
48,1,0,1,6,0,0,15810,0,15810
49,1,0,1,4,0,0,0,16264,16264
50,1,0,1,4,0,0,0,24831,24831
51,1,0,-1,2,0,0,0,19195,19195
52,1,0,1,2,11663,0,0,0,11663
53,1,2,1,3,0,15416,0,0,15416
54,1,0,-1,3,0,0,0,23653,23653
55,1,0,-1,3,0,0,24623,0,24623
56,1,0,1,2,0,12347,0,0,12347
57,1,0,1,3,0,0,0,13555,13555
